internal_ID,RA,DEC,Name,z_qso,z_lens,separation,N_images,S_RF,S_colour,KLQ_in_PAIR,KLQ_in_MUL,rediscovered
299012,138.25425,52.99133,SBS0909+532,1.378,0.83,1.11,2,0.811533876,0.811474788,1,0,0
2178922,202.53058,38.012,SDSSJ1330+3800,2.254,-,1.44,2,0.981507496,0.960569576,1,0,1
2193737,184.19165,35.49478,SDSSJ1216+3529,2.013,0.55*,1.49,2,0.985387958,0.932211256,1,0,1
2278656,203.50579,33.25953,SDSSJ1334+3315,2.426,0.557?,0.84,2,0.975269172,0.946852205,1,0,1
2412817,238.409197,31.8254202,J1553+3149,2.55,-,1.59,2,0.988558862,0.914189267,1,0,1
2414590,210.05341,31.58141,SDSSJ1400+3134,3.317,0.8?,1.75,2,0.920760946,0.967157739,1,0,1
2414635,248.45408,31.56997,FBQ1633+3134*,1.518,0.684?,0.66,2,0.992392008,0.751410281,1,0,1
2451358,147.84404,26.58719,FBQ0951+2635,1.247,0.26,1.1,2,0.992430081,0.914279205,1,0,1
2469703,172.07704,24.03817,SDSSJ1128+2402,1.608,-,0.78,2,0.989349193,0.916861103,1,0,1
2504710,172.9908,19.25761,SDSSJ1131+1915,2.915,0.32?,1.4,2,0.978829273,0.714421231,1,0,1
2522295,194.58017,16.95489,SDSSJ1258+1657,2.702,0.4?,1.26,2,0.982917764,0.94560968,1,0,1
2535565,136.01744,15.21507,SDSSJ0904+1512,1.826,-,1.07,2,0.989108569,0.95050869,1,0,1
2535671,228.9106,15.19309,SDSSJ1515+1511,2.054,0.742,2.01,2,0.996478772,0.903088479,1,0,1
2542974,244.193401,14.2622,J1616+1415,2.88,-,1.54,2,0.973187231,0.940307851,1,0,1
2550705,204.77999,13.1775,SDSSJ1339+1310,2.241,0.607,1.7,2,0.960686952,0.774111369,1,0,1
2590890,169.57035,7.76627,PG1115+080,1.735,0.311,2.43,4,0.984436744,0.753937984,0,1,1
2604107,124.6268,6.0271,SDSSJ0818+0601,2.35,1.01?,1.15,2,0.977553996,0.772426608,1,0,1
2605700,137.86471,5.84834,RXJ0911+0551,2.763,0.769,3.25,4,0.953883416,0.341723157,1,0,0
2642309,203.89496,1.30153,SDSSJ1335+0118,1.57,0.44,1.62,2,0.989648577,0.877481815,1,0,1
2668860,326.6918,-0.7957,SDSSJ2146-0047,2.381,0.799,1.39,2,0.933672352,0.857377779,1,0,1
2669373,355.79975,-0.84286,ULASJ2343-0050,0.787,0.3?,1.32,2,0.947821512,0.759078269,1,0,1
2716372,169.09805,-6.9608,HE1113-0641,1.235,0.75?,0.66,4,0.980237688,0.920643023,1,0,1
2726169,41.64204,-8.42669,SDSSJ0246-0825,1.689,0.723,1.1,2,0.852709328,0.378999309,0,1,1
2745101,352.491,-12.98306,WISE2329-1258,1.314,1.15?,1.26,2,0.992036955,0.863192776,1,0,1
2753661,44.92858,-16.5953,WISEJ0259-1635,2.16,0.905? measured,1.63,4,0.972874906,0.565747071,1,0,1
2755533,12.6158,-17.6693,HE0047-1756,1.678,0.407,1.43,2,0.997228612,0.917102478,1,0,1
2759910,13.4349,-20.2091,DESJ0053-2012,3.8,observed,3.06,4,0.979516709,0.879077906,0,1,1
2786654,78.54541,-33.43958,HE0512-3329,1.57,0.93?,0.65,2,0.99329081,0.925535407,1,0,1
2794456,82.6541,-37.5031,J0530-3730,2.84,-,1.04,4,0.945194921,0.691762378,0,1,1
2812547,29.6724,-43.4178,QJ0158-4325,1.29,0.317,1.22,2,0.94642341,0.836006176,1,0,1
2825685,308.4257,-47.3956,WFI2033-4723,1.662,0.661,2.53,4,0.870079316,0.352593917,0,1,1
2833832,61.7928,-50.10042,DESJ0407-5006,1.515,-,1.72,2,0.989555621,0.862514059,1,0,1
2885583,41.9779,-63.8233,DESJ0247-6349,2.294,0.43?,1.44,2,0.970126918,0.654184995,1,0,1
10733907,208.27642,11.63464,SDSSJ1353+1138,1.624,0.25*,1.39,2,0.996700691,0.91450834,1,0,1
10620288,342.6437,21.29,J2250+2117,1.73,-,1.89,2,0.984273244,0.718821325,1,0,1
10739128,250.0757,10.7515,PSJ1640+1045,1.7,-,2.21,2,0.982039358,0.623222927,1,0,1
10218537,150.36876,50.46595,SDSSJ1001+5027,1.841,0.415,2.93,2,0.991785287,0.845937169,1,0,1
10739756,232.41203,10.63454,ULASJ1529+1038,1.971,0.4?,1.31,2,0.990298571,0.807030889,1,0,1
11414189,186.53342,-0.10061,SDSSJ1226-0006,1.123,0.517,1.26,2,0.987238906,0.834949269,1,0,1
10936793,41.5508333,-18.7513889,J0246-1845,1.86,-,1,2,0.988125147,0.849092262,1,0,1
1026312,230.43679,52.9135,SBS1520+530,1.86,0.761?,1.59,2,0.899212976,0.437767358,1,0,0
10228328,114.2863,48.4309,SDSSJ0737+4825,2.892,-,1.54,2,0.982340768,0.629638546,1,0,1
10728924,207.37472,12.45213,SDSSJ1349+1227,1.722,0.65?,3.01,2,0.988081412,0.67129637,1,0,1
10925915,69.5619,-12.28745,HE0435-1223,1.693,0.454,2.54,4,0.986617716,0.733263849,0,1,1
10310177,252.681,42.86369,SDSSJ1650+4251,1.543,0.577?,1.18,2,0.979170925,0.619590243,1,0,1
10627289,121.59867,20.10874,SDSSJ0806+2006,1.54,0.573,1.49,2,0.98106327,0.859800397,1,0,1
10528585,163.67036,27.5517,SDSSJ1054+2733,1.452,0.23?,1.27,2,0.991492274,0.813171634,1,0,1
10734732,213.94267,11.49539,H1413+117,2.56,0.94?,1.35,4,0.917483141,0.526757774,0,1,1
10318609,151.14294,41.2118,SDSSJ1004+4112,1.74,0.68,14.72,5,0.979515208,0.95666496,1,0,1
10631246,332.87625,19.4869,HS2209+1914,1.07,-,1.04,2,0.910163286,0.708301799,0,1,1
1033171,116.721,44.06425,SDSSJ0746+4403,1.998,0.513,1.08,2,0.979860889,0.925919735,1,0,1
10738363,200.65152,10.8778,SDSSJ1322+1052,1.717,0.55?,2,2,0.976659022,0.599647032,0,1,1
1072087,200.24778,16.73437,SDSSJ1320+1644*,1.502,0.899,8.57,2,0.983870495,0.833972141,1,0,1
11431388,153.06622,-3.11767,LBQS1009-0252,2.74,0.871,1.54,2,0.982178919,0.550292489,0,1,1
11413195,136.7937,0.0559,J0907+0003,1.3,-,0.98,2,0.940411088,0.874589956,1,0,1
10119354,218.345,60.121,SDSSJ1433+6007,2.74,0.407,3.6,4,0.92617429,0.95032282,1,0,1
1105903,61.49875,-33.1475,DESJ0405-3308,1.713,-,1.57,4,0.767376718,0.64863161,1,0,0
